abandoned_camp_map	items	item/abandoned_camp_map
acacia_boat	items	item/acacia_boat
acacia_button	blocks	block/acacia_planks
acacia_chest_boat	items	item/acacia_chest_boat
acacia_door	items	item/acacia_door
acacia_fence	blocks	block/acacia_planks
acacia_fence_gate	blocks	block/acacia_planks
acacia_hanging_sign	items	item/acacia_hanging_sign
acacia_leaves	blocks	block/acacia_leaves
acacia_log	blocks	block/acacia_log
acacia_planks	blocks	block/acacia_planks
acacia_pressure_plate	blocks	block/acacia_planks
acacia_sapling	blocks	block/acacia_sapling
acacia_shelf	blocks	block/acacia_shelf
acacia_sign	items	item/acacia_sign
acacia_slab	blocks	block/acacia_planks
acacia_stairs	blocks	block/acacia_planks
acacia_trapdoor	blocks	block/acacia_trapdoor
acacia_wood	blocks	block/acacia_log
activator_rail	blocks	block/activator_rail
allay_spawn_egg	items	item/allay_spawn_egg
allium	blocks	block/allium
amethyst_block	blocks	block/amethyst_block
amethyst_cluster	blocks	block/amethyst_cluster
amethyst_shard	items	item/amethyst_shard
ancient_debris	blocks	block/ancient_debris_side
andesite	blocks	block/andesite
andesite_slab	blocks	block/andesite
andesite_stairs	blocks	block/andesite
andesite_wall	blocks	block/andesite
angler_pottery_sherd	items	item/angler_pottery_sherd
anvil	blocks	block/anvil_top
apple	items	item/apple
archer_pottery_sherd	items	item/archer_pottery_sherd
armadillo_scute	items	item/armadillo_scute
armadillo_spawn_egg	items	item/armadillo_spawn_egg
armor_stand	items	item/armor_stand
arms_up_pottery_sherd	items	item/arms_up_pottery_sherd
arrow	items	item/arrow
axolotl_bucket	items	item/axolotl_bucket
axolotl_spawn_egg	items	item/axolotl_spawn_egg
azalea	blocks	block/azalea_side
azalea_leaves	blocks	block/azalea_leaves
azure_bluet	blocks	block/azure_bluet
baked_potato	items	item/baked_potato
bamboo	items	item/bamboo
bamboo_block	blocks	block/bamboo_block
bamboo_button	blocks	block/bamboo_planks
bamboo_chest_raft	items	item/bamboo_chest_raft
bamboo_door	items	item/bamboo_door
bamboo_fence	blocks	block/bamboo_fence
bamboo_fence_gate	blocks	block/bamboo_fence_gate
bamboo_hanging_sign	items	item/bamboo_hanging_sign
bamboo_mosaic	blocks	block/bamboo_mosaic
bamboo_mosaic_slab	blocks	block/bamboo_mosaic
bamboo_mosaic_stairs	blocks	block/bamboo_mosaic
bamboo_planks	blocks	block/bamboo_planks
bamboo_pressure_plate	blocks	block/bamboo_planks
bamboo_raft	items	item/bamboo_raft
bamboo_shelf	blocks	block/bamboo_shelf
bamboo_sign	items	item/bamboo_sign
bamboo_slab	blocks	block/bamboo_planks
bamboo_stairs	blocks	block/bamboo_planks
